CULTID,GISREADY,Contacted,Organizati,Criteria,Discipline,NumSeats,StreetAddr,Town,PostalCode,Contact,ContactTit,PhoneNum,Email,Website,Descriptio,Public,Longitude,Latitude,Gadd,Gtown,Gprov,F23,F24
      182.000000,        1.000000,        0.000000,Windsong Studio & Gallery,Cultural Industry,Visual Art,n/a,1331 Victoria Road,Aylesford,B0P 1C0,Twila Robart-Decoste,Artist,847-9847,windsong1331@yahoo.ca,http://www.windsong-nature-gallery.com,"Woodlands, gardens, and the Nova Scotia coast are the inspiration of Twila's realistic paintings. She works in watercolour, acrylic, and oil. Visitors are welcome to enjoy our gardens.",,      -64.839740,       45.033440,1331 Victoria Road,Aylesford,NS,AV_Cultural/png/CulturalIndustry.png,
      214.000000,        1.000000,        0.000000,Captain Hall's Treasure Chest,Cultural Industry,Visual Art/Craft,n/a,1157 West Hall's Harbour Road,Hall's Harbour,B0P 1J0,,,678-3855 *May to October,,http://paintsandpots.tripod.com,"Catch one of the six local artists from Paints and Pots Creative Artists, at work in the shop.Opening May 27th to October 9th; daily, open 11am to 6pm. Featuring fine art painting, functional pottery and horsehair",,      -64.620320,       45.200590,1157 West Hall's Harbour Road,Hall's Harbour,NS,AV_Cultural/png/CulturalIndustry.png,
      138.000000,        1.000000,        0.000000,Cornwallis Academy of Dance,Cultural Industry,Dance,n/a,354 Main Street,Kentville,B4N 1K6,Linda Jess,Educator,679-3616,,,,,      -64.494810,       45.076980,354 Main Street,Kentville,NS,AV_Cultural/png/CulturalIndustry.png,
      190.000000,        1.000000,        0.000000,Kingsport Studios,Cultural Industry,Visual Art,n/a,9844 Main Street,Canning,B0P 1H0,Ron Hayes,Artist,692-0909,info@kingsportstudios.com,http://www.kingsportstudios.com,"Nova Scotia artist, Ron Hayes' latest landscape paintings are large, textured canvases of the Annapolis valley where he now lives. With long beaches forever being covered and revealed in an endless tidal cycle h",,      -64.420100,       45.157270,9844 Main Street,Canning,NS,AV_Cultural/png/CulturalIndustry.png,
      117.000000,        1.000000,        0.000000,Tracy Horsman Ceramics,Cultural Industry,Craft (ceramics),n/a,100 Allison Coldwell Road,Wolfville,,Tracy Horsman,Potter,,tracyhorsman@gmail.com,http://thceramics.blogspot.com/p/home.html,,,      -64.383960,       45.040360,100 Allison Coldwell Road,Wolfville,NS,AV_Cultural/png/CulturalIndustry.png,
      130.000000,        1.000000,        0.000000,de Weever's Wovens,Cultural Industry,Craft (Weaving),n/a,3486 Nova Scotia 1 Trunk,Aylesford,B0P 1C0,Hilda de Weever,Weaver,847-9270,dwvrs@ns.sympatico.ca,http://www.deweeverswovens.com,"Beautiful and functional handwoven clothing in an array of colours and styles. Available in wool, cotton and chenille. Custom orders a speciality.",,      -64.847810,       45.020850,3486 Nova Scotia 1 Trunk,Aylesford,NS,AV_Cultural/png/CulturalIndustry.png,
      141.000000,        1.000000,        0.000000,Valley Drive-In Theatre,Cultural Industry,Film,n/a,5934 Nova Scotia 1 Trunk,Cambridge,,Kirk Longmire,Contact person,538-0772,valleydrivein@ns.sympatico.ca,http://valleydrivein.com,"Originally one of Canada's oldest solo screens, the Valley had gone dark when it's lease was not renewed. In an interesting turn of events, it was the local Lions Club that came to the rescue, and succeeded in obt",,      -64.626330,       45.058120,5934 Nova Scotia 1 Trunk,Cambridge,NS,AV_Cultural/png/CulturalIndustry.png,
      145.000000,        1.000000,        0.000000,Cinematopia Video,Cultural Industry,Film,n/a,418 Main Street,Wolfville,,,,697-3456,,http://cinematopia.ca,"With a deep felt respect for cinematic history, the collection from all the genres, including international offerings, classics, cult favourites,  documentaries, a variety of kids' entertainment, and the best of the newest releases.",,      -64.361430,       45.091580,418 Main Street,Wolfville,NS,AV_Cultural/png/CulturalIndustry.png,
      215.000000,        1.000000,        0.000000,Chicken Coop NS Folk Art Gallery,Cultural Industry,Visual Art/Craft,n/a,4092 Nova Scotia 359,Hall's Harbour,B0P 1J0,,,679 7073,copperfoxgallery@hotmail.com,http://www.copperfoxgallery.com,"One of the only Folk Art gallery on the Nova Scotia North Shore!! Nova Scotia Folk art is known all over the world..Folk art is also known as the ""art from the heart"". Those funky, fun creations are colorful, bright,",,      -64.599350,       45.192500,4092 Nova Scotia 359,Hall's Harbour,NS,AV_Cultural/png/CulturalIndustry.png,
      194.000000,        1.000000,        0.000000,Green Shutter Gallery,Cultural Industry,Visual Art,n/a,4092 Nova Scotia 359,Hall's Harbour,B0P 1J0,David Lacey,Artist,679-7073,,,David's style is impressionism and magic realism using various mediums. His work is in galleries throughout Nova Scotia and in collections throughout the world. He is found Co-Chair and member of the AKA,,      -64.599350,       45.192500,4092 Nova Scotia 359,Hall's Harbour,NS,AV_Cultural/png/CulturalIndustry.png,
      193.000000,        1.000000,        0.000000,Copper Fox Gallery,Cultural Industry,Visual Art,n/a,4092 Nova Scotia 359,Hall's Harbour,B0P 1J0,Fabienne Leydecker,Artist/Owner,679-7073,,http://copperfoxgallery.blogspot.ca,"Copper Fox Gallery features fine art and quality crafts by many well-known artists. Paintings, pottery, sculptures, folk art, stone carvings, wood carvings, we have a wonderful selection.",,      -64.599350,       45.192500,4092 Nova Scotia 359,Hall's Harbour,NS,AV_Cultural/png/CulturalIndustry.png,
      124.000000,        1.000000,        0.000000,Creative Diversion,Cultural Industry,Craft (pottery),n/a,4029 Nova Scotia 359,Halls Harbour,B0P 1J0,Terry-Lee Bourgeois-King,Artisan,679-0777,mud@creativediversion.com,http://www.creativediversion.com,Creative Diversion welcomes locals and visitors to take a class to relax. We encourage everyone to stop in on their way to beautiful Hall's Harbour. Creative Diversion is owned and operated by Terry-Lee Bourgeo,,      -64.599350,       45.192500,4029 Nova Scotia 359,Halls Harbour,NS,AV_Cultural/png/CulturalIndustry.png,
      140.000000,        1.000000,        0.000000,Sister Lotus,Cultural Industry,Dance,n/a,424 Nova Scotia 1 Trunk,Wolfville,,Angie Oriana Jenkins,Contact,680-8839,oriana@sisterlotus.com,http://www.sisterlotus.com,,,      -64.361590,       45.091560,424 Nova Scotia 1 Trunk,Wolfville,NS,AV_Cultural/png/CulturalIndustry.png,
      142.000000,        1.000000,        0.000000,Creative Action Digital Photo,Cultural Industry,Film,n/a,1064 J. Jordan Road,Canning,B0P 1H0,Kimberly Smith,Filmmaker/producer,582 3888,ks@creativeaction.ca,http://www.creativeaction.ca,My mission is to help you communicate with video either by making the video for you or by showing you how to do it yourself. For over a decade I have helped many people - especially those who are normally m,,      -64.436650,       45.161630,1064 J. Jordan Road,Canning,NS,AV_Cultural/png/CulturalIndustry.png,
      137.000000,        1.000000,        0.000000,Mary's Islanders Dance School,Cultural Industry,Dance,n/a,110 Church Street,Greenwood,B0P 1R0,Mary Dunlop,Instructor,847-3782,,http://rayport.ca/PhotoAlbums/album_1275183106,"The school runs from September to May in the Greenwood Mall. Highland, Irish, square, step, clogging, line and hip hop dance styles are taught. Classes available for children, seniors, and partners.",,      -64.926120,       44.974850,110 Church Street,Greenwood,NS,AV_Cultural/png/CulturalIndustry.png,
      160.000000,        1.000000,        0.000000,KROCK 89.3,Cultural Industry,Media,n/a,8794 Commercial Street,New Minas,B4N 3C5,,,365 - 8930,info@893krock.com,http://krock8932009.ncc.ca,,,      -64.472320,       45.070710,8794 Commercial Street,New Minas,NS,AV_Cultural/png/CulturalIndustry.png,
      156.000000,        1.000000,        0.000000,Magic 94.9,Cultural Industry,Media,n/a,29 Oakdene Avenue,Kentville,B4N 1H5,,,678-2111,,http://www.magic949.ca,,,      -64.492180,       45.083060,29 Oakdene Avenue,Kentville,NS,AV_Cultural/png/CulturalIndustry.png,
      154.000000,        1.000000,        0.000000,AVR 97.7,Cultural Industry,Media,n/a,29 Oakdene Avenue,Kentville,B4N 1H5,,,678-2111,,http://avrnetwork.com,,,      -64.492180,       45.083060,29 Oakdene Avenue,Kentville,NS,AV_Cultural/png/CulturalIndustry.png,
      208.000000,        1.000000,        0.000000,Steve Slipp Designs,Cultural Industry,Visual Art,n/a,39 Kent Avenue,Wolfville,B4P 1V4,Steven Slipp,Graphic Designer,542-2533,steven@slippdesign.ca,http://slippdesign.ca,"Steven Slipp is a 30 year veteran of the Nova Scotia creative design community. His specializations are visual and brand identity, interpretive media and exhibition design, wayfinding and orientation signage, a",,      -64.374720,       45.085740,39 Kent Avenue,Wolfville,NS,AV_Cultural/png/CulturalIndustry.png,
      169.000000,        1.000000,        0.000000,Marilyn Manzer Music Studio,Cultural Industry,Music,n/a,53 Pleasant Street,Wolfville,B4P 1M9,Marilyn Manzer,Musician/Educator,542-0558,manzer@ns.sympatico.ca,http://www3.ns.sympatico.ca/manzer/index.htm,"Marilyn has been teaching private music lessons (mostly piano) in her home in Wolfville since 1990. She also teaches voice, recorder, violin, and music theory. She taught Kindermusik to young children and pare",,      -64.347450,       45.084820,53 Pleasant Street,Wolfville,NS,AV_Cultural/png/CulturalIndustry.png,
      104.000000,        1.000000,        0.000000,Noggins Farm,Cultural Industry,Agriculture,n/a,10009 Nova Scotia 1 Trunk,Greenwich,B4P 2R2,,,542-5515,cebishop@nogginsfarm.ca,http://www.nogginsfarm.ca,Noggins Corner Farm combines the latest agricultural technology with the farming instincts of a family who is deeply rooted in the land.,,      -64.402230,       45.082690,10009 Nova Scotia 1 Trunk,Greenwich,NS,AV_Cultural/png/CulturalIndustry.png,
      115.000000,        1.000000,        0.000000,Applewicks,Cultural Industry,Craft,n/a,10 Gaspereau Avenue,Wolfville,B4P 2C2,,,542-9771,applewicks@larchehomefires.org,http://www.larchehomefires.org/applewicks/index.htm,"Since November 1, 1990, L'Arche Homefires has operated Applewicks, a workshop providing meaningful work and opportunities for adults with special needs. The workshop had various locations before movin",,      -64.359940,       45.091160,10 Gaspereau Avenue,Wolfville,NS,AV_Cultural/png/CulturalIndustry.png,
      149.000000,        1.000000,        0.000000,The Box of Delights Bookshop,Cultural Industry,Literature,n/a,466 Main Street,Wolfville,B4P 1E2,Mitzi DeWolfe,Owner,542-9511,,http://www.boxofdelightsbooks.com,"As a general bookshop we carry as many different and interesting titles as we can.  We do focus on local history, children's books, and fiction but tend to have a 'little bit of everything'.",,      -64.363320,       45.091460,466 Main Street,Wolfville,NS,AV_Cultural/png/CulturalIndustry.png,
      120.000000,        1.000000,        0.000000,Nova Gems,Cultural Industry,Craft (jewellery),n/a,22 Hillcrest Ave,Wolfville,B0P 1X0,Ivi Daborn,Artisan,542-5373,,,Ivi specializes in one-of-a-kind handcrafted sterling jewellery using stones from Nova Scotia as well as other locations.,,      -64.376330,       45.085500,22 Hillcrest Ave,Wolfville,NS,AV_Cultural/png/CulturalIndustry.png,
      198.000000,        1.000000,        0.000000,The Poor Man's Carpet,Cultural Industry,Visual Art,n/a,126 Eagle Creek Road,Kentville,B4N 5J4,Sheri Wheaton,Artist,678-6679,,,"Hand-painted, stencilled, custom-designed floorcloths you can walk on, hand on the wall, eat off, or set your drink on. Choose from in-stock or order to suit your decor. Made of 100% cotton, water base paints, an",,      -64.478030,       45.082330,126 Eagle Creek Road,Kentville,NS,AV_Cultural/png/CulturalIndustry.png,
      176.000000,        1.000000,        0.000000,Eden's Garden Studios,Cultural Industry,Photography,n/a,401 Main Street,Kentville,,Natasha Penney,Photographer,678-9966,,http://www.edensgarden.ca,"Fine Art, prenatal, infant, baby, children, high schools seniors, family photography",,      -64.496130,       45.077230,401 Main Street,Kentville,NS,AV_Cultural/png/CulturalIndustry.png,
      158.000000,        1.000000,        0.000000,The Register/Adverstiser,Cultural Industry,Media,n/a,28 Aberdeen Street Suite 6,Kentville,B4N 2N1,Jennifer Vardy Little,Editor,681-2121,events@kentvilleadvertiser.ca,http://www.kingscountynews.ca,,,      -64.496660,       45.078060,28 Aberdeen Street Suite 6,Kentville,NS,AV_Cultural/png/CulturalIndustry.png,
      211.000000,        1.000000,        0.000000,West-Wind Studio,Cultural Industry,Visual Art,n/a,16 Grandview Drive,Wolfville,B0P 1X0,Jan Gyorfi-West,Artist,542-5469,,,Jan was born and educated in England. She has been painting portraits for thirty years and has given numerous exhibitions and workshops in Nova Scotia and Quebec. She does portraits from sittings or photos.,,      -64.371360,       45.082340,16 Grandview Drive,Wolfville,NS,AV_Cultural/png/CulturalIndustry.png,
      101.000000,        1.000000,        0.000000,L'Acadie Vineyards,Cultural Industry,Agriculture,n/a,310 Slayter Road,Gaspereau,B4P 2R1,,,542-8463,info@lacadievineyards.ca,http://www.lacadievineyards.ca,"L'Acadie Vineyards is the premier producer of Traditional Method Sparkling Nova Scotia wine, an authentic wine style ideally suited for our cool climate terroir. With over 25 years of winemaking experience, we",,      -64.334090,       45.067460,310 Slayter Road,Gaspereau,NS,AV_Cultural/png/CulturalIndustry.png,
      196.000000,        1.000000,        0.000000,Mona Kay Studio,Cultural Industry,Visual Art,n/a,27 Glenview Avenue,Kentville,B4N 2R4,Mona K. Balcom,Artist,678-2672,,,"An eclectic approach creates striking use of colour, design and texture. Includes acrylics on fibre-glass, silkscreen prints with pen and ink etching, monoprints with printer's ink. Please phone for appointment.",,      -64.505550,       45.075900,27 Glenview Avenue,Kentville,NS,AV_Cultural/png/CulturalIndustry.png,
      114.000000,        1.000000,        0.000000,Gaspereau Valley Fibres,Cultural Industry,Craft,n/a,830 Gaspereau River Road,Gaspereau,B4P 2N5,Brenda Gilmour,Owner/Operator,542-2656,brenda@gaspereauvalleyfibres.ca,http://www.gaspereauvalleyfibres.ca,"We raise Cotswold sheep and produce yarn, spinning fibres, sheepskins, from our own flock. We also carry a large selection of yarns, equipment for knitters, spinners fibres and weavers.",,      -64.334390,       45.071170,830 Gaspereau River Road,Gaspereau,NS,AV_Cultural/png/CulturalIndustry.png,
      207.000000,        1.000000,        0.000000,Sea Mist Gallery,Cultural Industry,Visual Art,n/a,112 Front Street,Wolfville,B4P 1A4,Edwin Hollet,Artist,542-1094,,,"Edwin's paintings show the sea, wildlife, and the small villages, hamlets and towns of the Atlantic. Take a step into the past beauty of the Atlantic. You can purchase prints of the original paintings here, such as",,      -64.360000,       45.092400,112 Front Street,Wolfville,NS,AV_Cultural/png/CulturalIndustry.png,
      150.000000,        1.000000,        0.000000,The Odd Book,Cultural Industry,Literature,n/a,112 Front Street,Wolfville,B4P 1A4,,,542-9491,info@theoddbook.ca,http://www.theoddbook.ca,"Founded in 1977, The Odd Book provides second hand and rare books to satisfy a variety of tastes.  Travellers and Wolfville residents shop here for mysteries, westerns, science fiction and other light reading at a",,      -64.360000,       45.092400,112 Front Street,Wolfville,NS,AV_Cultural/png/CulturalIndustry.png,
      107.000000,        1.000000,        0.000000,Muir Murray Estate Winery,Cultural Industry,Agriculture,n/a,90 Dyke Road,Wolfville,B4P 2R1,,,542-0343,info@muirmurrayestatewinery.com,http://www.muirmurraywinery.com,Nestled in the beautiful Annapolis Valley near the town of Wolfville is Nova Scotia's newest Estate Winery.,,      -64.334910,       45.103000,90 Dyke Road,Wolfville,NS,AV_Cultural/png/CulturalIndustry.png,
      121.000000,        1.000000,        0.000000,From Rags to Witches Studio,Cultural Industry,Craft (leather),n/a,272 Randall Road,Kentville,B4N 3B5,Tyra Innis-Harvie,Artisan,678-0205,,,"With natural materials and discarded objects, Tyra creates a world of fantasy and spiritual being. She loves to work with driftwood, stone, fur, perennials, herbs and permanent garden structures.",,      -64.504470,       45.083330,272 Randall Road,Kentville,NS,AV_Cultural/png/CulturalIndustry.png,
      125.000000,        1.000000,        0.000000,Hall's Harbour Quilt Studio,Cultural Industry,Craft (quilting),n/a,641 W. Halls Harbour Road,Halls Harbour,B0P 1J0,Janet Gordon,Owner,679-2791,janet@novascotiaquilts.com,http://www.novascotiaquilts.com,"Quilt studio in owner's c.1820 home. Award winning traditional designs in all sizes; antique textiles and Nova Scotia folk art. Commissions welcome. I will demonstrate whatever aspect of quiltmaking I am wor",,      -64.609560,       45.179410,641 W Halls Harbour Road,Halls Harbour,NS,AV_Cultural/png/CulturalIndustry.png,
      191.000000,        1.000000,        0.000000,John Neville Gallery,Cultural Industry,Visual Art,n/a,1143 West Hall's Harbour Road,Centreville,B0P 1J0,John Neville,Artist/Owner,679-7148,john@jneville.ca,,"John Neville's nostalgic portrals of bygone days chronicle the folklore and daily lives of the local fishermen and their women from his childhood village. This popular Canadian artist, who splits his time between",,      -64.538380,       45.142900,1143 West Hall's Harbour Road,Centreville,NS,AV_Cultural/png/CulturalIndustry.png,
      133.000000,        1.000000,        0.000000,Riven Woodwork,Cultural Industry,Craft (Woodwork),n/a,1341 Meadow Road,Wolfville,B0P 1X0,Barry Brown,Artist,542-3178,,,"Barry creates walking sticks, pioneer whisks, coat hooks, spoons, spatulas, and Pennsylvania Dutch hay forks.",no,      -64.299530,       45.027570,1341 Meadow Road,Wolfville,NS,AV_Cultural/png/CulturalIndustry.png,
      139.000000,        1.000000,        0.000000,Cadance Academy,Cultural Industry,Dance,n/a,1019 Roy Avenue,New Minas,B4N 3R7,Gaea Jess,Manager,679-3616,info@cadanceacademy.ca,http://www.cadanceacademy.ca,"Cadance offers many different styles of dance including Ballet, Jazz, Modern, Hip Hop, Zumba, Yoga and so many more. Cadance is dedicated to providing qualified instruction in a non-competitive atmosphere.",,      -64.471390,       45.068040,1019 Roy Avenue,New Minas,NS,AV_Cultural/png/CulturalIndustry.png,
      199.000000,        1.000000,        0.000000,Larry Lee Art & Design,Cultural Industry,Visual Art,n/a,1328 Nova Scotia 1 Trunk,Kingston,B0P 1R0,Larry Lee,Artist,765-2587,,,"Self-taught with over 25 years experience, Larry is a muralist who uses a realism style. His work can be seen at the Greenwood Mall, Capitol Lounge and Grill in Middleton, and Roxy Restaurant and Lounge in K",,      -64.911710,       45.004820,1328 Nova Scotia 1 Trunk,Kingston,NS,AV_Cultural/png/CulturalIndustry.png,
      183.000000,        1.000000,        0.000000,Celtic Valley Studio,Cultural Industry,Visual Art,n/a,148 Maple Avenue,Berwick,B0P 1E0,Sybil Redden,Artist,538-7947,,,,,      -64.731720,       45.047550,148 Maple Avenue,Berwick,NS,AV_Cultural/png/CulturalIndustry.png,
      212.000000,        1.000000,        0.000000,Ocean Spirit Studio,Cultural Industry,Visual Art/Craft,n/a,9840 Main Street,Canning,B0P 1H0,Kathie Beyea,Owner,582-3089,info@oceanspiritstudio.com,http://www.oceanspiritstudio.com,"Ocean Spirit Studio strives to promote healthy and balanced lifestyle choices through participation in productive, purposeful and creative activities. Kathie Beyea has conceptualized a welcoming space that is in",,      -64.420320,       45.157340,9840 Main Street,Canning,NS,AV_Cultural/png/CulturalIndustry.png,
      188.000000,        1.000000,        0.000000,Apple Tree Studio,Cultural Industry,Visual Art,n/a,9840 Main Street,Canning,B0P 1H0,Neil Bennett,Artist,582-3537,appletree@ns.sympatico.ca,,"Trained in graphic design, self-taught pastel artist, custom framer.",,      -64.420320,       45.157340,9840 Main Street,Canning,NS,AV_Cultural/png/CulturalIndustry.png,
      163.000000,        1.000000,        0.000000,Brigadoon Camp,Cultural Industry,Multi,n/a,1650 N River Rd,South Alton,,Jen Kelday,Director of Programs,681-8100 ext: 224,,,"Year-round recreation for children and families with chronic illness and conditions. Alternative rental facility for off/low season bookings for school, corporate, or private groups. Programming includes Arts, Ou",,      -64.566680,       45.011880,1650 N River Rd,South Alton,NS,AV_Cultural/png/CulturalIndustry.png,
      999.000000,        1.000000,        0.000000,Brush of the Wind Gallery,Cultural Industry,Visual Art,,441 Canard Street,Port Williams,B0P 1T0,Rik Berry,Artist,902-582-3121,artist@rikberry.com,http://valleygate.getmyip.com/rikberry,I use acrylic and watercolors to explore new icons and symbols representing our journey with God and God’s way among us.,,        0.000000,        0.000000,,,,AV_Cultural/png/CulturalIndustry.png,
      998.000000,        0.000000,        0.000000,Wolfville Ghostly Walking Tours,Cultural Industry,Heritage,,,Wolfville,,Jeremy Novak,,(902) 692-8546 (cell),jerome@valleyghostwalks.com,http://www.wolfvillewalkingtours.com,"A 1.5 hour historical production of Wolfville's intriguing past, starting at 8:30pm at the ClockTower on Main.",,        0.000000,        0.000000,,,,AV_Cultural/png/CulturalIndustry.png,
     1001.000000,        1.000000,        0.000000,Stage Power Schools,Cultural Industry,Theatre,,65 Highland Ave.,Wolfville,B4P 1Z5,Karen Mallim,Contact Person,697-2799,info@stagepowerschools.com,http://stagepowerschools.com/,We offer 4 to 18 year-olds a training for life through the excitement and drama that surrounds the performing arts.,,        0.000000,        0.000000,,,,AV_Cultural/png/CulturalIndustry.png,
     1005.000000,        1.000000,        0.000000,Scotian Gold,Cultural Industry,Agriculture,,7027 Highway #1,Coldbrook,B4R 1B6,,,679-2191,scotian@scotiangold.com,http://www.scotiangold.com,Scotian Gold is a grower owned tree fruit cooperative owned by 30 apple grower members. It was formed in 1957 as a rebirth of The United Fruit Companies of Nova Scotia.,,        0.000000,        0.000000,,,,AV_Cultural/png/CulturalIndustry.png,
     1008.000000,        1.000000,        0.000000,Shooterbug photography,Cultural Industry,Photography,,129 Maple Avenue,Berwick,,Bob Federer & Colleen Dagnall,Photographers,375-2387,info@shooterbug.com,http://www.shooterbug.com,"Website design, image processing, workshops for amateur and professional photographers, photography.",,        0.000000,        0.000000,,,,AV_Cultural/png/CulturalIndustry.png,
     1009.000000,        1.000000,        0.000000,Cosman & Whidden Honey,Cultural Industry,Artisanal Food,,9925 Highway 1 RR2,Greenwich,B4P 2R2,Tom and Mary Anne,Owners,542-9443,info@novascotiahoney.com,http://www.novascotiahoney.com,We are a family farm devoted to beekeeping.,,        0.000000,        0.000000,,,,AV_Cultural/png/CulturalIndustry.png,
     1010.000000,        1.000000,        0.000000,Marie & Guy's French Bakery,Cultural Industry,Artisanal Food,,609 Main Street,Kingston,B0P 1C0,Marie & Guy,Owners,341-2093,baguettecroissantbrioche@yahoo.ca,,Traditional artisanal French Bakery,,        0.000000,        0.000000,,,,AV_Cultural/png/CulturalIndustry.png,
     1011.000000,        0.000000,        0.000000,Saraj bakery,Cultural Industry,Artisanal Food,,9145 Commercial Street,New Minas,B4N 3E6,,,365-3550,info@sarajbakery.com,http://www.sarajbakery.com,"Saraj focuses on a tradition of old-fashioned value and outstanding quality and such is reflected in every one of our hand-made breads, cakes, pastries, and baked European specialties.",,        0.000000,        0.000000,,,,AV_Cultural/png/CulturalIndustry.png,
     1012.000000,        1.000000,        0.000000,The Noodle Guy,Cultural Industry,Artisanal Foods,,980 Main Street,Port Williams,B0P 1T0,Ross Paterson,Owner,697-3906,ross@thenoodle.ca,http://www.thenoodle.ca,"All of our noodles are made by hand with ingredients that are as fresh and local as possible; many are from our own market garden.",,        0.000000,        0.000000,,,,AV_Cultural/png/CulturalIndustry.png,
     1013.000000,        1.000000,        0.000000,On that note music studio,Cultural Industry,Music,,2700 Prospect Rd.,Cambridge,,Dan Grantham,Musician/Educator,698-7464,info@onthatnote.ca,www.onthatnote.ca,"Offers students a relaxed, fun atmosphere where they can learn many genres including opera, classical, rock vocal, musical theatre and pop for voice, piano, guitar and bass.",,        0.000000,        0.000000,,,,AV_Cultural/png/CulturalIndustry.png,
